Search Topic,Title,Authors,Year,Citations,Abstract,Publication Info,URL
Alphabet/Google,Anti-competitive Practices of Google: Analysis of EU Proceedings in Comparison with US Approach,N Dostálová,2024,0,"… US, Google has not been found guilty of antitrust violations in … Rather, I will use artificial intelligence primarily to find … and regulations in the context of EU competition regulation. Also, soft …",N Dostálová - 2024 - dspace.cuni.cz,https://dspace.cuni.cz/handle/20.500.11956/206371
Alphabet/Google,Regulation of Antitrust and Intellectual Property Rights,"R Girasa, GJ Scalabrini",2022,0,"In this chapter, we noted the progression of emerging technologies, led by American companies, almost inevitably has evolved to dominance by a select few innovative firms which have …","R Girasa, GJ Scalabrini - … , Artificial Intelligence and Quantum Computing, 2022 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-03869-3_6
Alphabet/Google,The Impact of Modern Big Tech Antitrust on Digital Sovereignty,"E Hine, L Floridi",2026,0,"… three decades of US antitrust enforcement against Big Tech (Alphabet/Google, Amazon, … Viewing enforcement at a sovereignty level of abstraction clarifies that these regulatory choices …","E Hine, L Floridi - Digital Society, 2026 - Springer",https://link.springer.com/article/10.1007/s44206-026-00249-3
Bank for International Settlements (BIS),Bank for international settlements—BIS,H Canton,2021,11,"… banking community to prioritize its response to the COVID-19 pandemic. The BIS hosts the secretariat of the Financial Stability … to supersede the former Financial Stability Forum (which, …","H Canton - The Europa Directory of International Organizations …, 2021 - taylorfrancis.com",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003179900-72/bank-international-settlements%E2%80%94bis-helen-canton
Bank for International Settlements (BIS),Bank For International Settlements—Bis,I Citaristi,2022,1,"… banking community to prioritize its response to the COVID-19 pandemic. The BIS hosts the secretariat of the Financial Stability … to supersede the former Financial Stability Forum (which, …","I Citaristi - The Europa Directory of International Organizations …, 2022 - taylorfrancis.com",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003292548-94/bank-international-settlements%E2%80%94bis-ileana-citaristi
Bank for International Settlements (BIS),Bank for International Settlements,G Kartal,2024,1,"… In conclusion, BIS’s contributions to global financial stability have been multifaceted. Its role in fostering cooperation, providing essential services, conducting research, and setting …","G Kartal - The Palgrave Encyclopedia of Islamic Finance and …, 2024 - Springer",https://link.springer.com/content/pdf/10.1007/978-3-030-93703-4_238-1.pdf
Bank for International Settlements (BIS),Bank for International Settlements (BIS),P Clement,2025,0,"… by 63 central banks representing nearly 95% of global GDP. … promote global monetary and financial stability through international … payments from Germany post First World War, the BIS …","P Clement - The New Palgrave Dictionary of Economics, 2025 - Springer",https://link.springer.com/rwe/10.1057/978-1-349-95121-5_3172-1
Bechtel National,Straight to Bechtel.,JS Clair,2021,1,"… On the second anniversary of the invasion of Iraq, Bechtel, the gargantuan global construction firm based in San Francisco, issued its revenue numbers for 2004. While the situation …","JS Clair - CounterPunch, 2021 - search.ebscohost.com",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10862323&asa=N&AN=163197523&h=37uqzc6ONogKhHBPAuhEUpFh2GcbbGbcxOa9GpgFnokWmX66fhIQ20ZdvLz7ZO6N34UebYyflZzAXYNyacoRpg%3D%3D&crl=c
Bertelsmann,Bertelsmann: A Transnational Media Service Giant,"M Tröger, J Becker",2022,7,"… This book analyzes one of the largest media conglomerates worldwide, the Bertelsmann … opportunity to publish this book as part of their Media Giant Series. At Routledge Publisher, we …","M Tröger, J Becker - 2022 - api.taylorfrancis.com",https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781003215608&type=googlepdf
BlackRock,American asset manager capitalism,B Braun,2020,25,"… Third, asset management companies have increasingly benefitted … by BlackRock’s Aladdin, a riskmanagement system so widely used in the asset management industry that BlackRock’…","B Braun - SocArXiv, accessed at https://osf. io/preprints/socarxiv …, 2020 - acdc2007.free.fr",http://acdc2007.free.fr/braun620.pdf
BlackRock,"BlackRock, Inc.(USA): An environmentally sustainable asset investor as it claims to be?","M Glowik, WA Bhatti, A Chwialkowska",2024,12,"… leading asset management firms such as BlackRock, … management firms taking the case of BlackRock against actual … published by BlackRock concerning its sustainable finance policy …","M Glowik, WA Bhatti, A Chwialkowska - Critical Perspectives on …, 2024 - emerald.com",https://www.emerald.com/cpoib/article/20/2/185/1234395
BlackRock,BlackRock: Reserves Management with Factors and Reference Portfolios,"A Ang, D Chua, K Gallagher, S Hull",2020,2,"… 27.2, we describe the Reference Portfolio and its … risk-adjusted returns by taking the amount of systematic risk captured in the Reference Portfolio in a more diversified Strategic Portfolio. …","A Ang, D Chua, K Gallagher, S Hull - Asset Management at Central Banks …, 2020 - Springer",https://link.springer.com/chapter/10.1007/978-3-030-43457-1_27
BlackRock Aladdin,A critical analysis of corporate governance: The case of BlackRock,M Czyżewski,2024,7,"… all use BlackRock’s Aladdin platform for end-to-… BlackRock provided services to other financiers and government authorities during the crisis by utilizing its risk management tool, Aladdin…","M Czyżewski - New Trends in Business Management, 2024 - books.google.com",https://books.google.com/books?hl=en&lr=&id=PHYVEQAAQBAJ&oi=fnd&pg=PA77&dq=BlackRock+Aladdin+risk+management+platform&ots=_EFvi2ql-l&sig=iRRgO6b3TJKq6xh848Ey1ZVjaOc
BlackRock Aladdin,Financial operating systems,"DA Zetzsche, WA Birdthistle, DW Arner, RP Buckley",2020,6,"… Following this structural exegesis of FOS, we examine BlackRock’s operating system, Aladdin, and discuss a number of front-end systems that have evolved in the US and internationally…","DA Zetzsche, WA Birdthistle, DW Arner, RP Buckley - 2020 - hub.hku.hk",https://hub.hku.hk/handle/10722/281751
BlackRock Aladdin,BlackRock's Guide to Fixed-Income Risk Management,BW Golub,2023,2,… The same Aladdin technology used by BlackRock is also … BlackRock Solutions' Aladdin implementation of the Risk Radar system is presented as a tangible example of how risk …,BW Golub - 2023 - books.google.com,https://books.google.com/books?hl=en&lr=&id=AM_QEAAAQBAJ&oi=fnd&pg=PR17&dq=BlackRock+Aladdin+risk+management+platform&ots=l2wAQl2-PN&sig=CWQJYyg1mGSEbHrqtXUQfqdx_hA
BlackRock Aladdin,Automated risk management systems in international economy and global investments,"I Novik, O Porubai",2025,0,"… build adaptive and accurate risk minimization strategies. One of the most famous examples is Aladdin, an analytical platform from BlackRock, widely used in investment management. It …","I Novik, O Porubai - 2025 - repository.kpi.kharkov.ua",https://repository.kpi.kharkov.ua/server/api/core/bitstreams/2d204ee4-b1c3-421a-9714-bf85dc2494d9/content
BlackRock Aladdin,TRANSFORMING FINANCIAL CONTROL THROUGH ARTIFICIAL INTELLIGENCE: A MODERN APPROACH TO FINANCIAL OVERSIGHT AND ANALYSIS.,"MI DUMITRU, C DICU",2025,0,"… Aladdin System, developed by BlackRock, stands as a prime example of how technology can revolutionize financial risk management and portfolio administration… , cybersecurity risks …","MI DUMITRU, C DICU - Scientific Bulletin-Economic Sciences …, 2025 - researchgate.net",https://www.researchgate.net/profile/Mihaela-Dumitru-2/publication/397008089_TRANSFORMING_FINANCIAL_CONTROL_THROUGH_ARTIFICIAL_INTELLIGENCE_A_MODERN_APPROACH_TO_FINANCIAL_OVERSIGHT_AND_ANALYSIS/links/6901a00aa2b691617b67bcf0/TRANSFORMING-FINANCIAL-CONTROL-THROUGH-ARTIFICIAL-INTELLIGENCE-A-MODERN-APPROACH-TO-FINANCIAL-OVERSIGHT-AND-ANALYSIS.pdf
BlackRock Aladdin,The Dark Side of AI: A Case Study of BlackRock's Approach,PS Rajeswari,2026,0,"… BlackRock’s journey with artificial intelligence (AI) in trading strategies is … platform, Aladdin. Starting in 1988, during its early development phase extending into the early 1990s, Aladdin …",PS Rajeswari - 2026 - sk.sagepub.com,https://sk.sagepub.com/cases/dark-side-of-ai-a-case-study-of-blackrocks-approach
BlackRock Aladdin,TECHNOLOGY & MANAGEMENT AS VALUE DRIVERS FOR BLACKROCK,L Karakash,2022,0,"… group of Aladdin Client Services (ACS), we were further broken down into teams that handled specialties within the asset management software of Aladdin, which BlackRock owned …",L Karakash - 2022 - surface.syr.edu,https://surface.syr.edu/cgi/viewcontent.cgi?article=2514&context=honors_capstone
BlackRock Aladdin,Digital technologies in banking: applications for investment projects,"E Ushakova, D Orlova",2025,0,… BlackRock Aladdin is a platform that uses artificial intelligence and machine learning to … real–time risk management solutions. Aladdin® is a tech platform that unifies the investment …,"E Ushakova, D Orlova - Creating the Society of Consciousness, 2025 - ibn.idsi.md",https://ibn.idsi.md/vizualizare_articol/232699
Booz Allen Hamilton,Building Cyber Resilient Systems from Day 1,"S Bolish, M Dodge, E Mitalo…",2024,3,"… We demonstrate how properly documenting cybersecurity … Leadership team at Booz Allen Hamilton for providing funding and … of Booz Allen’s clients, including the Defense Intelligence …","S Bolish, M Dodge, E Mitalo… - 2024 IEEE Aerospace …, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10521294/
Booz Allen Hamilton,Cybersecurity: Building a Better Defense with a Great Offense,DM Cooke,2021,1,"… defense isn’t very reassuring to an organization and its users, once an attack is executed based on a study conducted by Booz Allen … to reevaluate their network security methods and a …",DM Cooke - 2021 - digitalcommons.odu.edu,https://digitalcommons.odu.edu/covacci-undergraduateresearch/2021fall/projects/3/
Booz Allen Hamilton,"Booz Allen aims to help subs, suppliers reach CMMC compliance",S Friedman,2020,0,,"S Friedman - Inside the Pentagon, 2020 - JSTOR",
CERN,New physics searches with heavy-ion collisions at the CERN Large Hadron Collider,"R Bruce, D d'Enterria, A De Roeck…",2020,100,"This document summarises proposed searches for new physics accessible in the heavy-ion mode at the CERN Large Hadron Collider (LHC), both through hadronic and ultraperipheral …","R Bruce, D d'Enterria, A De Roeck… - … and Particle Physics, 2020 - iopscience.iop.org",https://iopscience.iop.org/article/10.1088/1361-6471/ab7ff7/meta
CIA,"THE TRANSFORMATION OF THE CIA FROM INTELLIGENCE GATHERING AGENCY INTO COVERT ACTIONS, 1947-1953","B Kurti, A Iseni",2022,2,"… Central Intelligence Agency (CIA) which have been focused mainly on the covert actions of this agency, occurring through the years in many countries, but why this agency was …","B Kurti, A Iseni - International Journal of Social Sciences & …, 2022 - ijssh.ielas.org",http://ijssh.ielas.org/index.php/ijssh/article/view/64
Cargill-MacMillan,Brazil's agribusiness economic miracle: Exploring food supply chain transformations for promoting win–win investments,"JE Cruz, GS Medina, JRO Júnior",2022,30,"… [33], marketing is the segment that moves the most resources within the corn production chain, with the highest revenues among the five segments, especially in the Cargill company, …","JE Cruz, GS Medina, JRO Júnior - Logistics, 2022 - mdpi.com",https://www.mdpi.com/2305-6290/6/1/23
Cargill-MacMillan,From rent-seeking to rent-producing: explaining Cargill's strategy to control value chains by proliferating links within them,A Pahnke,2024,1,… While this article documents Cargill’s interventions within aquaculture value chains primarily… general with respect to the dynamics of value chains and how firms interact with consumers. …,"A Pahnke - Agriculture and Human Values, 2024 - Springer",https://link.springer.com/article/10.1007/s10460-023-10514-7
Cargill-MacMillan,Cargill's Enterprise AI Transformation in Agribusiness,V Swami,2026,0,"… This framework balances local flexibility with enterprise consistency, enabling Cargill to tackle deeply complex supply chain questions while staying grounded in its purpose: to …",V Swami - 2026 - sk.sagepub.com,https://sk.sagepub.com/cases/cargills-enterprise-ai-transformation-in-agribusiness
Cargill-MacMillan,Supply chains in a modern geopolitical environment,B Fargher,2024,0,"… supply chains in the agri-food … Cargill, and then talk about the resiliency of supply chains and our involvement in that; why we have such an interest in resilient sustainable supply chains …",B Fargher - 2024 - ageconsearch.umn.edu,https://ageconsearch.umn.edu/record/339619/
Cargill-MacMillan,Agri-food corporations' role in water sustainability and water resilience of global supply chains,"C Dalin, K Davis, E De Petrillo, P d'Odorico, F Diekel…",2025,0,"… to food producers and consumers, we argue that agri-food … a pivot within the food supply chain, shaping both consumer … Cargill claims to have “mapped our agricultural supply chain …","C Dalin, K Davis, E De Petrillo, P d'Odorico, F Diekel… - 2025 - hal.science",https://hal.science/hal-05368710/
City of London,Uncovering the City of London Corporation: Territory and temporalities in the new state capitalism,M Eagleton-Pierce,2023,19,"… The City of London (commonly referred to as ‘the City’ or by its moniker, ‘the Square Mile’) … district in London. Understanding the institutional governance of this global financial hub has …","M Eagleton-Pierce - … and planning A: economy and space, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0308518X221083986
City of London,The City of London as an industrial cluster since 1980,"M Billings, S Mollan",2022,1,… They argued that the City’s ‘continued success as an international financial center remains … ’ and that ‘For London to occupy a position as a major financial center in the twentieth century …,"M Billings, S Mollan - Industrial Clusters, 2022 - api.taylorfrancis.com",https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003036357-8&type=chapterpdf
City of London,remaking the Financial Infrastructure of the city of London,M Eagleton-Pierce,2025,0,"… However, this lacuna undermines our understanding of the City as a financial centre in two major ways. First, from a practical commercial perspective, political rule-making is inevitably …","M Eagleton-Pierce - The Cambridge Global Handbook of Financial …, 2025 - d-nb.info",https://d-nb.info/1379650550/34#page=144
Cox Family,The Cox Trio: A Study in Black Show Business,G Anderson,2022,0,"… the younger Cox, attempting to strike out on a show business career of his own, moved to Louisville, where his father visited him the following year.AG Allen organized his company with …","G Anderson - Legacies of Power in American Music, 2022 - taylorfrancis.com",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003275695-4/cox-trio-gene-anderson
DARPA,DARPA: A global innovation differentiator,S Liu,2020,11,… has been a core engine for breakthrough technologies … DARPA has delivered breakthrough technologies – many that drive economic growth – and the impacts of DARPA technologies …,"S Liu - IEEE Engineering Management Review, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9006793/
DTCC,"Open Access, Interoperability, and DTCC's Unexpected Path to Monopoly","D Awrey, JC Macey",2022,41,"… Depository Trust and Clearing Corporation's path to monopoly in the US securities clearing and depository markets… , and resilient operation of modern financial markets.Indeed, it is no ex…","D Awrey, JC Macey - Yale LJ, 2022 - HeinOnline",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/ylr132&section=5
DTCC,Advancing the settlement model of the US securities markets,J Abel,2022,5,"… The Depository Trust & Clearing Corporation (DTCC) and our … actively coordinated by market participants, demonstrating … our capital markets. Working with the Securities Industry and …","J Abel - Journal of Securities Operations & Custody, 2022 - ingentaconnect.com",https://www.ingentaconnect.com/content/hsp/jsoc/2022/00000014/00000002/art00003
DTCC,Trade settlement failures in the us bond markets,S Trimbath,2021,2,"… run clearing corporation, such as the Fixed Income Clearing … Treasury Market Practices Group (TMPG) and DTCC initiated … increasing danger to global financial markets. 2007 was the …","S Trimbath - IUP Journal of Financial Risk Management, 2021 - search.proquest.com",https://search.proquest.com/openview/a358e34e01d4669a3231cdb1aabf7ed6/1?pq-origsite=gscholar&cbl=54459
Donald Trump,Immature leadership: Donald Trump and the American presidency,DW Drezner,2020,102,"… Most disturbingly, his temper has clearly distorted the selection of information with which his staff provide him, on anything from political analysis to national security. For example, his …","DW Drezner - International Affairs, 2020 - academic.oup.com",https://academic.oup.com/ia/article-abstract/96/2/383/5722298
Donald Trump,The effects of Donald Trump,TS James,2021,40,"… understanding the political change that leaders … that can help us to discuss political leaders’ causal effects in more concrete situations, such as an analysis of Donald Trump’s presidency…","TS James - Policy Studies, 2021 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/01442872.2021.1980114
Donald Trump,Facebook discourse analysis of US president Donald Trump,T Tasente,2020,19,"… (political party, government, parliament, presidency… that the image of the politicians is more visible than the image of the party, and the personalized aspects of the strategy of the political …","T Tasente - Technium Soc. Sci. J., 2020 - HeinOnline",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/techssj5&section=4
Elon Musk,Measuring the modern entrepreneur: An evaluation of Elon Musk,C Bosanquet,2023,6,"… CEO of Tesla, SpaceX, and Neuralink is not once referred to as an entrepreneur. Footnote 1 … of existing business opportunities under given technology restrictions.” Footnote 17 …","C Bosanquet - The Entrepreneurial Ecosystem: A Global Perspective, 2023 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-25931-9_10
Elon Musk,Elon Musk's Startups and Their Role in Modern Economic Development,Y Zhang,2025,1,,"Y Zhang - Advances in Economics and Management …, 2025 - madison-proceedings.com",https://madison-proceedings.com/index.php/aemr/article/view/3885
Elon Musk,Enterprise Economic Impact & Entrepreneurship: How Musk's Start-up Boosts the Economy,J Zhang,2025,1,,"J Zhang - Advances in Economics and Management …, 2025 - madison-proceedings.com",https://madison-proceedings.com/index.php/aemr/article/view/4106
Elon Musk,Entrepreneurial Mindset and Risk-Taking Behavior in Technology-Intensive Startups,A McCall,2025,1,… mindset influences risk-taking behavior in technology-driven … insights into how technology entrepreneurs navigate risks … o Example: Elon Musk faced multiple failures with SpaceX …,A McCall - 2025 - researchgate.net,https://www.researchgate.net/profile/Andrei-Mccall-2/publication/388791019_Entrepreneurial_Culture_as_a_Driver_of_Business_Growth_and_Innovation_in_Emerging_Markets/links/67a614f8207c0c20fa7e026f/Entrepreneurial-Culture-as-a-Driver-of-Business-Growth-and-Innovation-in-Emerging-Markets.pdf
Elon Musk,Technological Visionary or Security Risk?: A Psychobiographical Analysis of Elon Musk's Leadership at the Intersection of Business and Geopolitics,AC Arslan,2026,0,"… The year 2002 serves as the terminus a quo, marking the founding of SpaceX and Musk’s transition from a digital entrepreneur (PayPal era) to a deep-tech figure with significant …","AC Arslan - Lectio Socialis, 2026 - dergipark.org.tr",https://dergipark.org.tr/en/pub/lectio/article/1797163
Elon Musk,The Two Case Study Children Of Elon Musk:'Spacex'And 'Tesla',"S Gautam, I Kachole, S Patni, N Choudhary, A Das",2025,0,"… SpaceX, officially known as Space Exploration Technologies Corp., is a private aerospace … company founded by entrepreneur Elon Musk in 2002. Here's a detailed overview of SpaceX: …","S Gautam, I Kachole, S Patni, N Choudhary, A Das - Workscapes, 2025 - books.google.com",https://books.google.com/books?hl=en&lr=&id=9thkEQAAQBAJ&oi=fnd&pg=PA57&dq=Elon+Musk+Tesla+SpaceX+technology+entrepreneurship&ots=yV2FyVMEkG&sig=zEWfp452CqJ8Q2ubKaYo7rVfEwA
Elon Musk,The Enigma of Elon Musk: Unraveling the Complexities of His Business Portfolio,AK Seth,2024,0,"… of his companies such as Tesla, X and SpaceX. They have a … Elon Musk’s business portfolio, a prime example being Tesla … is battery technology that benefits both Tesla and SolarCity. …","AK Seth - International Journal of Social Science and Economic …, 2024 - ijsser.org",http://ijsser.org/2024files/ijsser_09__348.pdf
FormFactor Inc.,Problem-solving of semiconductor probe card using TRIZ and quality control (QC) story,"YM Jeon, YW Song, KM Hong",2021,3,"… of probe temperature on the probe card. Since the problem that occurs in the semiconductor probe card … To cope with this technological requirement, the overall size of the probe card as …","YM Jeon, YW Song, KM Hong - Asia-pacific Journal of Convergent …, 2021 - kctrs.or.kr",http://kctrs.or.kr/journal/APJCRI/Articles/v7n2/9.pdf
FormFactor Inc.,Solving Semiconductor Probe Card Problems Utilizing TRIZ and Data Analysis,"MUN Yong, WON Yong",2020,2,"… company, but also to the other probe card manufacturers in the industry. Keywords: Semiconductor, TRIZ, 6 Sigma, Probe card. … In summary, it is the same as the definition of technical …","MUN Yong, WON Yong - ACTA TECHNICA NAPOCENSIS …, 2020 - atna-mam.utcluj.ro",https://atna-mam.utcluj.ro/index.php/Acta/article/view/1396
Gemini AI,Welcome to the Gemini era: Google DeepMind and the information industry,HR Saeidnia,2023,107,"… With a keen interest in the field of artificial intelligence, he has dedicated his studies and … By leveraging powerful language models and Google’s vast knowledge base, Gemini aims to …","HR Saeidnia - Library Hi Tech News, 2023 - emerald.com",https://www.emerald.com/lhtn/article/doi/10.1108/LHTN-12-2023-0214/1254678
Gemini AI,Large language models as assistance for glaucoma surgical cases: a ChatGPT vs. Google Gemini comparison,"MM Carlà, G Gambini, A Baldascino, F Boselli…",2024,92,… Artificial intelligence (AI) natural language processing has witnessed a significant … of advanced large language models (LLMs) [1]. Two of the most important LLM models are Chat …,"MM Carlà, G Gambini, A Baldascino, F Boselli… - Graefe's Archive for …, 2024 - Springer",https://link.springer.com/article/10.1007/s00417-024-06470-5
Gemini AI,"Grok, Gemini, ChatGPT and DeepSeek: Comparison and applications in conversational artificial intelligence","ME de Carvalho Souza, L Weigang",2025,50,"… Artificial Intelligence (AI) has seen significant advances in recent decades, especially in the development of Large Language Models … Artificial Intelligence models: Grok, Gemini, …","ME de Carvalho Souza, L Weigang - Inteligencia Artificial, 2025 - researchgate.net",https://www.researchgate.net/profile/Murillo-Edson-De-Carvalho-Souza/publication/389065042_Grok_Gemini_ChatGPT_and_DeepSeek_Comparison_and_Applications_in_Conversational_Artificial_Intelligence/links/67b8c4d9f5cb8f70d5b98990/Grok-Gemini-ChatGPT-and-DeepSeek-Comparison-and-Applications-in-Conversational-Artificial-Intelligence.pdf
Gemini AI,Evidence‐Based Potential of Generative Artificial Intelligence Large Language Models on Dental Avulsion: ChatGPT Versus Gemini,"T Tokgöz Kaplan, M Cankar",2025,46,"… As a result of this study, it was found that although the Gemini language model has a higher accuracy rate, also ChatGPT produces satisfactory answers to patient questions and may be …","T Tokgöz Kaplan, M Cankar - Dental Traumatology, 2025 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/edt.12999
Gemini AI,Performance benchmarking of generative AI models: Chatgpt-4 vs. Google Gemini AI,"K Kalluri, A Kokala, N Parvatha",2024,46,… The rapid advancements in generative artificial intelligence models … language model that has gained widespread attention for its impressive performance in a variety of natural language …,"K Kalluri, A Kokala, N Parvatha - International Research Journal …, 2024 - researchgate.net",https://www.researchgate.net/profile/Abhilash-Kokala-2/publication/386507133_PERFORMANCE_BENCHMARKING_OF_GENERATIVE_AI_MODELS_CHATGPT-4_VS_GOOGLE_GEMINI_AI/links/67535079ad10b614ef31a4cb/PERFORMANCE-BENCHMARKING-OF-GENERATIVE-AI-MODELS-CHATGPT-4-VS-GOOGLE-GEMINI-AI.pdf
Gemini AI,"Performance of the ChatGPT-3.5, ChatGPT-4, and Google Gemini large language models in responding to dental implantology inquiries","N Taymour, SM Fouda, HH Abdelrahaman…",2025,33,"… Artificial intelligence (AI) chatbots have been proposed as promising resources for oral health information. However, the quality and readability of existing online health-related …","N Taymour, SM Fouda, HH Abdelrahaman… - The Journal of Prosthetic …, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0022391324008333
Gemini AI,Use of generative large language models for patient education on common surgical conditions: a comparative analysis between ChatGPT and Google Gemini,"OM ELSenbawy, KB Patel, RA Wannakuwatte…",2025,9,"… increases, Artificial Intelligence (AI) tools such as ChatGPT and Google Gemini have expanded their role in the medical field. ChatGPT is an artificial intelligence program created by …","OM ELSenbawy, KB Patel, RA Wannakuwatte… - Updates in Surgery, 2025 - Springer",https://link.springer.com/article/10.1007/s13304-025-02074-8
Gemini AI,Patients prefer artificial intelligence large language model-generated responses to those prepared by the American college of mohs surgery: a double-blind …,"MA Robinson, M Belzberg, C Cai, J Lim, TYA Liu…",2025,3,… Artificial intelligence (AI) systems leveraging large language … ChatGPT and Gemini answers were rated significantly more … Gemini responses were most frequently selected as the …,"MA Robinson, M Belzberg, C Cai, J Lim, TYA Liu… - JAAD international, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S2666328725000409
Gemini AI,"Artificial intelligence in anesthesia: comparison of the utility of ChatGPT v/s google gemini large language models in pre-anesthetic education: content, readability and …","P Sharma, B Sidhu, A Reddy, P Saxena, R Gupta…",2025,1,… study comparing ChatGPT and Google Gemini in generating … Responses from both models were independently rated by … (CI) for ChatGPT versus Gemini. Readability was assessed …,"P Sharma, B Sidhu, A Reddy, P Saxena, R Gupta… - BMC …, 2025 - Springer",https://link.springer.com/article/10.1186/s12871-025-03451-x
